texto,classe
A CONTRATADA obriga-se a apresentar em até 10 (dez) dias úteis contados da data de assinatura do Contrato o instrumento de garantia das obrigações contratuais cujo valor do instrumento de garantia deverá ser correspondente a 5% cinco por cento do valor global deste Contrato sob pena de aplicação de sanção,consistente
A Contratada deverá entregar no prazo de 10 dez dias a contar da data de assinatura do contrato de garantia do contrato no valor equivalente a 5 cinco por cento do valor global da contratação,consistente
ao recolhimento a título de garantia de contrato a importância de 5 cinco por cento do valor do contrato no prazo máximo de 05 cinco dias úteis contados,consistente
Haverá exigência de garantia de execução para a presente contratação,consistente 
A garantia de execução contratual será exigida e será limitada a 5 cinco por cento do valor do contrato justificadamente conforme,consistente
GARANTIA CONTRATUAL Para assegurar o integral cumprimento de todas as obrigações contratuais assumidas inclusive indenização à terceiros e multas eventualmente aplicadas à CONTRATADA,consistente
GARANTIA DA EXECUÇÃO no prazo de 15 quinze dias após a assinatura do Termo de Contrato ou aceite do instrumento equivalente prestará garantia no valor correspondente a 5 cinco por cento do valor do Contrato que será liberada de acordo com as condições previstas neste Edital,consistente
A CONTRATADA para execução dos serviços objeto desta licitação prestará no ato da assinatura do contrato em favor da CONTRATANTE garantia fixada no percentual de 5 cinco por cento do valor do contrato nos termos do artigo,consistente
O Objeto do presente Termo de Referência terá garantia contratual apresentada pela contratada no valor equivalente a 5 cinco por cento do valor estabelecido,consistente
a garantia deverá ser complementada no prazo de 72h setenta e duas horas para que seja mantido o percentual de 5 cinco por cento do valor do Contrato,consistente
A GARANTIA DO CONTRATO deverá ser reforçada sempre que houver acréscimo ao preço global final pactuado de forma que sua importância se mantenha sempre equivalente a 5 cinco por cento do valor vigente contratado,consistente
Se for constatada qualquer alteração na qualidade ou composição durante a garantia do produto a contratada se compromete a trocá-lo sem ônus para a contratante no prazo máximo de 10 dez dias a contar da notificação emitida pela Unidade Requisitante,inconsistente
O fornecedor Detentor da Ata garantirá a qualidade dos itens registrados pelo periodo de validade atestado pelo produtor a contar da data da entrega,inconsistente
Deverão estar incluídos nos preços propostos todos os custos diretos e indiretos decorrentes do fornecimento do objeto incluindo tributos encargos trabalhistas e comerciais seguros despesas de administração lucro custos com transporte frete e demais despesas,inconsistente
A proximidade da gestão e fiscalização do CONTRATANTE com a prestação de serviços da CONTRATADA é fundamental resguardando o controle de processos e de conhecimento da execução contratual no que pretende alcançar o atendimento das premissas para a garantia da integridade e confidencialidade dos dados,inconsistente
certificado de regularidade de situação perante o Fundo de Garantia do Tempo de Serviço,inconsistente
A garantia dos equipamentos e condição de aceitação e classificação das propostas comerciais neste Edital devendo ser indicada na proposta em número de meses contados a partir da data de entrega dos equipamentos,inconsistente
No caso de vício oculto da contagem do prazo de garantia só poderá iniciar-se a partir da ciência efetiva do vício O prazo máximo para resolução dos problemas apresentados no prazo de garantia será de 05 cinco dias corridos a contar da solicitação e qualquer custo decorrente de problema será arcado pelo licitante sobretudo quando se tratar de defeito de fabricação,inconsistente 
Nas condições de garantia à serem apresentadas pelos licitantes não serão aceitas imposições,inconsistente
A garantia dos equipamentos e condição de aceitação e classificação das propostas comerciais neste Edital devendo ser indicada na proposta em número de meses contados a partir da data de entrega dos equipamentos sendo o prazo mínimo aceito o de 12 doze meses,inconsistente
O prazo máximo para resolução dos problemas apresentados no prazo de garantia será de 05 cinco dias corridos a contar da solicitação,inconsistente
Certificado de Regularidade de Situação do Fundo de Garantia por Tempo de Serviço  CRS- FGTS,inconsistente
Comprovação de regularidade relativa ao Fundo de Garantia por Tempo de Serviço  FGTS apresentando o respectivo Certificado de Regularidade fornecida pela Caixa Econômica Federal,inconsistente
Descrição detalhada do objeto contendo as informações similares a especificação do Termo de Referência: indicando no que for aplicável o modelo prazo de validade ou de garantia,inconsistente
Oferecemos garantia sobre o produto contra qualquer defeito de fabricação,inconsistente
termo de garantia de um produto,inconsistente
Esta garantia ficará automaticamente cancelada se o produto não for corretamente utilizado,inconsistente
Guia de Recolhimento do Fundo de Garantia por Tempo de Serviço e Informações à Previdência Social,inconsistente
Prova de regularidade para com o Fundo de Garantia por Tempo de Serviço FGTS,inconsistente
A garantia prestada pela CONTRATADA será liberada ou restituída no prazo de até 90 noventa dias após a execução e recebimento definitivo do objeto contratual mediante solicitação formal da CONTRATADA e apresentação de certidão negativa de regularidade com o INSS e FGTS,inconsistente




 
